place,institution,wish name,number of spots,admission percentage,section 1,section 2,subjects 1,subjects 2,subjects 3,international,relative overall average,absolute value overall average,french grade
PARIS - CLICHY,EM Normandie,SESAME PGE Campus de Clichy Track Francophone,600,55,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,2,2,1
OXFORD,EM Normandie,SESAME PGE Track Anglophone Oxford,70,54,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,2,2,1
CAEN,EM Normandie,SESAME PGE Track Anglophone Caen,150,58,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,2,2,1
CAEN,EM Normandie,SESAME PGE Track Francophone Caen,150,58,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,2,2,1
DUBLIN,EM Normandie,SESAME PGE Track Anglophone Dublin,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,2,2,1
PARIS - CLICHY,EM Normandie,SESAME International BBA Bac + 4 Paris,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,2,2,1
LE HAVRE,EM Normandie,Bac+3 - Bachelor en Management International,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,1,2,1
CLERMONT FERRAND,ESC Clermont Business School,Bac + 3 - Bachelor en Communication Digitale et E-Business,,,COMMERCE,DIGITAL E-BUSINESS,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,1,1,1
CLERMONT FERRAND,ESC Clermont Business School,Bac + 3 - Bachelor en Management International,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,1,1,1
,ESSCA,ACCES -Programme Grande Ecole Bac + 5 - Boulogne - Marseille - Lyon - Angers - Bordeaux - Strasbourg - Paris,200,65,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,2,2,1
PARIS,ESSCA,Bac + 3 - Bachelor en Management International Track Anglophone,70,76,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,2,2,1
,ESSCA,Bac + 3 - Bachelor en Management International Track Francophone - Aix - Bordeaux - Strasbourg - Lyon - Angers,130,75,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,1,2,1
GRENOBLE,Grenoble Ecole de Management,Bac + 3 - Bachelor in International Business,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,2,2,1
PARIS LA DEFENSE,ESCE,SESAME PGE Bac + 5 - Sciences Politiques Int. - La Défense,,,COMMERCE,SC. POLITIQUES RI,[],"['Maths', 'HGGSP', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,1,2,1
LYON,ESCE,SESAME PGE Bac +5 - Sciences Politiques Int. - Lyon 7e,,,COMMERCE,SC. POLITIQUES RI,[],"['Maths', 'HGGSP', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,1,2,1
"PARIS, LYON",ESCE,SESAME PGE - Cursus Int. Business - Francophone - Paris La Défense ou Lyon,60,37,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,1,2,1
"PARIS , LYON",ESCE,SESAME PGE - Cursus International Business - Trilingue Paris ou Lyon,30,34,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,1,2,1
"PARIS, LYON",ESCE,SESAME PGE - Cursus Int. Business - Anglophone - Paris La Défense Lyon,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,1,2,1
PARIS,ICD,SESAME PGE- Track International Paris,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,1,2,1
TOULOUSE,ICD,SESAME PGE- Track International Toulouse,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,1,2,1
PARIS,IPAG,"SESAME Track Geopolitique, communication et Sciences Politiques",,,COMMERCE,SC. POLITIQUES RI,[],"['Maths', 'HGGSP', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,1,1,1
,IPAG,SESAME PGE Bac+5 Main Track Campus de Paris-Nice,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,1,1,1
